id,category,creator_id,level,maxUsers,price,title,duration,datetime,creator,description,enrolled_users
10,Body Pump,309,intermediate,1,16.6,A Body Pump class,2 h ,2022-09-24 12:30:00.530965,brittany_callahan,"Sculpt and define your muscles with our invigorating body pump classes. Using barbells and adjustable weights, you'll perform a series of strength-training exercises to target all major muscle groups, leaving you feeling strong and confident.",[]
11,Stretching,728,all levels,12,14.28,A Stretching class,1 h 40 min,2023-03-02 15:00:00.530965,miranda_armstrong,"Enhance your flexibility, improve posture, and prevent injuries with our rejuvenating stretching classes. Release tension, increase range of motion, and promote muscle recovery while experiencing deep relaxation and stress relief.",[]
12,Spinning,851,begginer,5,13.37,A Spinning class,0 h 40 min,2023-04-29 08:00:00.530965,austin_robinson,"Pedal your way to a healthier you with our energizing spinning classes. Get your heart racing, strengthen your legs, and burn calories as you ride to the rhythm of motivating music in a dynamic and immersive indoor cycling experience.",[]
13,Spinning,926,advanced,4,20.65,A Spinning class,0 h 30 min,2023-04-19 01:00:00.530965,jeremy_alexander,"Pedal your way to a healthier you with our energizing spinning classes. Get your heart racing, strengthen your legs, and burn calories as you ride to the rhythm of motivating music in a dynamic and immersive indoor cycling experience.",[]
14,ABS,630,advanced,38,15.75,A ABS class,0 h 45 min,2022-09-21 10:30:00.530965,charles_torres,"Sculpt a strong and defined core with our dedicated ABS classes. Through a variety of exercises specifically targeting your abdominal muscles, you'll work towards achieving a toned midsection and improved stability.",[]
15,ABS,898,intermediate,37,16.36,A ABS class,1 h 25 min,2023-05-05 09:30:00.530965,patricia_floyd,"Sculpt a strong and defined core with our dedicated ABS classes. Through a variety of exercises specifically targeting your abdominal muscles, you'll work towards achieving a toned midsection and improved stability.",[]
16,Personalized,557,advanced,12,12.35,A Personalized class,2 h ,2023-01-31 04:30:00.530965,justin_brown,"Experience the ultimate tailored fitness program with our personalized classes. Our expert trainers will design a workout plan specifically for you, taking into account your goals, fitness level, and preferences to ensure optimal results and motivation.",[]
17,Yoga,419,all levels,16,14.88,A Yoga class,0 h 10 min,2022-12-12 11:00:00.530965,maria_bradley,"Discover inner peace and enhance your physical and mental well-being with our invigorating yoga classes. Unwind, increase flexibility, and strengthen your body while finding balance and harmony in a serene environment.",[]
18,GAP,918,advanced,11,13.79,A GAP class,0 h 15 min,2022-07-27 06:30:00.530965,keith_garcia,"Focus on your lower body and core strength with our targeted GAP classes. Tone and tighten your glutes, abs, and legs through a combination of exercises designed to help you achieve a firm and toned physique.",[]
19,Total Body Conditioning,16,begginer,19,18.38,A Total Body Conditioning class,1 h 30 min,2023-03-05 16:30:00.530965,kenneth_robinson,"Transform your body from head to toe with our comprehensive total body conditioning classes. Combining strength, cardio, and flexibility exercises, you'll enjoy a complete workout that targets all muscle groups for improved fitness and body composition.",[]
20,Other,179,all levels,13,11.77,A Other class,1 h 25 min,2022-11-21 08:00:00.530965,ronald_rodriguez,"Embark on a journey of exploration and variety with our diverse range of specialized fitness classes. From aerial yoga to functional training, we offer unique opportunities to challenge yourself, discover new passions, and uncover hidden talents. Step outside your comfort zone",[]
21,HIIT,656,advanced,6,15.69,A HIIT class,2 h ,2022-06-06 17:30:00.530965,nathan_patton,Get ready to torch calories and boost your metabolism with our heart-pumping HIIT sessions. Alternate between intense bursts of exercise and short recovery periods to maximize fat burning and achieve fast results.,[]
22,Kickboxing,343,intermediate,38,12.98,A Kickboxing class,0 h 25 min,2023-03-14 03:00:00.530965,david_williams,"Release stress and get a full-body workout with our empowering kickboxing classes. Learn striking techniques, improve your coordination, and build strength while unleashing your inner warrior in a fun and supportive environment.",[]
23,Personalized,198,all levels,19,17.56,A Personalized class,0 h 35 min,2022-12-17 17:00:00.530965,tina_freeman,"Experience the ultimate tailored fitness program with our personalized classes. Our expert trainers will design a workout plan specifically for you, taking into account your goals, fitness level, and preferences to ensure optimal results and motivation.",[]
24,HIIT,488,begginer,22,18.54,A HIIT class,0 h 55 min,2023-05-13 13:00:00.530965,christian_barnes,Get ready to torch calories and boost your metabolism with our heart-pumping HIIT sessions. Alternate between intense bursts of exercise and short recovery periods to maximize fat burning and achieve fast results.,[]
25,CrossFit,170,intermediate,30,14.53,A CrossFit class,0 h 10 min,2022-12-05 00:30:00.530965,roy_perry,"Unleash your inner athlete with our high-intensity CrossFit classes. Push your limits, increase strength and endurance, and experience the camaraderie of a supportive community as you tackle challenging workouts designed to optimize your fitness.",[]
26,GAP,648,advanced,8,14.86,A GAP class,2 h ,2023-03-23 12:00:00.530965,emily_schneider,"Focus on your lower body and core strength with our targeted GAP classes. Tone and tighten your glutes, abs, and legs through a combination of exercises designed to help you achieve a firm and toned physique.",[]
27,CrossFit,918,begginer,50,11.52,A CrossFit class,2 h ,2023-01-06 07:00:00.530965,keith_garcia,"Unleash your inner athlete with our high-intensity CrossFit classes. Push your limits, increase strength and endurance, and experience the camaraderie of a supportive community as you tackle challenging workouts designed to optimize your fitness.",[]
28,HIIT,74,intermediate,2,16.84,A HIIT class,1 h 5 min,2023-03-24 20:30:00.530965,leslie_johnson,Get ready to torch calories and boost your metabolism with our heart-pumping HIIT sessions. Alternate between intense bursts of exercise and short recovery periods to maximize fat burning and achieve fast results.,[]
29,Body Pump,309,advanced,27,15.75,A Body Pump class,2 h ,2022-07-26 16:30:00.530965,brittany_callahan,"Sculpt and define your muscles with our invigorating body pump classes. Using barbells and adjustable weights, you'll perform a series of strength-training exercises to target all major muscle groups, leaving you feeling strong and confident.",[]
30,Boxing,96,advanced,11,11.03,A Boxing class,0 h 5 min,2022-09-11 03:30:00.530965,zachary_torres,"Unleash your inner fighter and improve your strength and agility with our empowering boxing classes. Learn proper boxing techniques, increase endurance, and build confidence while working up a sweat and relieving stress.",[]
31,Barre,766,advanced,50,12.93,A Barre class,0 h 45 min,2023-02-18 16:30:00.530965,christopher_santos_phd,"Achieve a graceful and sculpted physique with our ballet-inspired barre classes. Combine elements of dance, Pilates, and strength training to tone your muscles, improve flexibility, and embrace your inner ballerina.",[]
32,CrossFit,123,all levels,4,16.55,A CrossFit class,1 h 25 min,2023-01-17 23:30:00.530965,suzanne_torres,"Unleash your inner athlete with our high-intensity CrossFit classes. Push your limits, increase strength and endurance, and experience the camaraderie of a supportive community as you tackle challenging workouts designed to optimize your fitness.",[]
33,GAP,323,all levels,3,18.12,A GAP class,0 h 30 min,2023-03-14 18:00:00.530965,sophia_hebert,"Focus on your lower body and core strength with our targeted GAP classes. Tone and tighten your glutes, abs, and legs through a combination of exercises designed to help you achieve a firm and toned physique.",[]
34,Total Body Conditioning,150,begginer,48,15.66,A Total Body Conditioning class,2 h ,2023-05-13 16:30:00.530965,lydia_rangel,"Transform your body from head to toe with our comprehensive total body conditioning classes. Combining strength, cardio, and flexibility exercises, you'll enjoy a complete workout that targets all muscle groups for improved fitness and body composition.",[]
35,Total Body Conditioning,507,all levels,8,10.87,A Total Body Conditioning class,2 h ,2022-12-22 20:30:00.530965,kimberly_solis,"Transform your body from head to toe with our comprehensive total body conditioning classes. Combining strength, cardio, and flexibility exercises, you'll enjoy a complete workout that targets all muscle groups for improved fitness and body composition.",[]
36,Kickboxing,420,begginer,5,15.75,A Kickboxing class,2 h ,2022-10-21 20:00:00.530965,ann_anderson,"Release stress and get a full-body workout with our empowering kickboxing classes. Learn striking techniques, improve your coordination, and build strength while unleashing your inner warrior in a fun and supportive environment.",[]
37,Spinning,944,begginer,44,8.17,A Spinning class,2 h ,2023-02-01 21:00:00.530965,john_stout,"Pedal your way to a healthier you with our energizing spinning classes. Get your heart racing, strengthen your legs, and burn calories as you ride to the rhythm of motivating music in a dynamic and immersive indoor cycling experience.",[]
38,HIIT,752,intermediate,31,15.27,A HIIT class,0 h 35 min,2023-03-24 10:00:00.530965,connie_gonzalez,Get ready to torch calories and boost your metabolism with our heart-pumping HIIT sessions. Alternate between intense bursts of exercise and short recovery periods to maximize fat burning and achieve fast results.,[]
39,CrossFit,188,all levels,47,17.12,A CrossFit class,2 h ,2023-04-01 02:30:00.530965,emily_king,"Unleash your inner athlete with our high-intensity CrossFit classes. Push your limits, increase strength and endurance, and experience the camaraderie of a supportive community as you tackle challenging workouts designed to optimize your fitness.",[]
40,Total Body Conditioning,909,begginer,19,15.13,A Total Body Conditioning class,1 h ,2023-02-10 10:00:00.530965,andrea_pena,"Transform your body from head to toe with our comprehensive total body conditioning classes. Combining strength, cardio, and flexibility exercises, you'll enjoy a complete workout that targets all muscle groups for improved fitness and body composition.",[]
41,GAP,952,intermediate,11,9.76,A GAP class,1 h 10 min,2023-03-23 23:30:00.530965,mr__jeffery_cannon,"Focus on your lower body and core strength with our targeted GAP classes. Tone and tighten your glutes, abs, and legs through a combination of exercises designed to help you achieve a firm and toned physique.",[]
42,ABS,716,all levels,46,13.7,A ABS class,1 h 50 min,2022-11-19 00:00:00.530965,amy_mason,"Sculpt a strong and defined core with our dedicated ABS classes. Through a variety of exercises specifically targeting your abdominal muscles, you'll work towards achieving a toned midsection and improved stability.",[]
43,HIIT,656,intermediate,11,14.06,A HIIT class,0 h 35 min,2022-07-28 20:30:00.530965,nathan_patton,Get ready to torch calories and boost your metabolism with our heart-pumping HIIT sessions. Alternate between intense bursts of exercise and short recovery periods to maximize fat burning and achieve fast results.,[]
44,CrossFit,931,begginer,47,17.05,A CrossFit class,2 h ,2023-04-13 11:30:00.530965,john_vincent,"Unleash your inner athlete with our high-intensity CrossFit classes. Push your limits, increase strength and endurance, and experience the camaraderie of a supportive community as you tackle challenging workouts designed to optimize your fitness.",[]
45,Spinning,425,advanced,13,14.38,A Spinning class,1 h 45 min,2023-03-18 00:30:00.530965,chad_ho,"Pedal your way to a healthier you with our energizing spinning classes. Get your heart racing, strengthen your legs, and burn calories as you ride to the rhythm of motivating music in a dynamic and immersive indoor cycling experience.",[]
46,GAP,728,begginer,46,13.72,A GAP class,1 h 55 min,2022-09-06 12:30:00.530965,miranda_armstrong,"Focus on your lower body and core strength with our targeted GAP classes. Tone and tighten your glutes, abs, and legs through a combination of exercises designed to help you achieve a firm and toned physique.",[]
47,Boxing,728,begginer,4,16.48,A Boxing class,2 h ,2022-12-15 08:00:00.530965,miranda_armstrong,"Unleash your inner fighter and improve your strength and agility with our empowering boxing classes. Learn proper boxing techniques, increase endurance, and build confidence while working up a sweat and relieving stress.",[]
48,Boxing,562,advanced,18,11.22,A Boxing class,2 h ,2022-10-12 21:00:00.530965,vanessa_bowman,"Unleash your inner fighter and improve your strength and agility with our empowering boxing classes. Learn proper boxing techniques, increase endurance, and build confidence while working up a sweat and relieving stress.",[]
49,Boxing,419,intermediate,32,13.82,A Boxing class,2 h ,2023-01-02 18:00:00.530965,maria_bradley,"Unleash your inner fighter and improve your strength and agility with our empowering boxing classes. Learn proper boxing techniques, increase endurance, and build confidence while working up a sweat and relieving stress.",[]
50,Zumba,898,intermediate,41,14.97,A Zumba class,1 h 35 min,2022-07-27 08:30:00.530965,patricia_floyd,"Join the dance party and get your heart pumping with our exhilarating Zumba classes. Burn calories, boost your energy, and let loose to infectious Latin and international rhythms that make exercising feel like a celebration.",[]
51,Stretching,203,all levels,42,14.79,A Stretching class,2 h ,2023-02-23 11:30:00.530965,david_hill,"Enhance your flexibility, improve posture, and prevent injuries with our rejuvenating stretching classes. Release tension, increase range of motion, and promote muscle recovery while experiencing deep relaxation and stress relief.",[]
52,ABS,96,advanced,49,13.47,A ABS class,0 h 40 min,2023-01-28 16:30:00.530965,zachary_torres,"Sculpt a strong and defined core with our dedicated ABS classes. Through a variety of exercises specifically targeting your abdominal muscles, you'll work towards achieving a toned midsection and improved stability.",[]
53,Barre,739,advanced,33,13.79,A Barre class,2 h ,2023-04-02 18:30:00.530965,amanda_wright,"Achieve a graceful and sculpted physique with our ballet-inspired barre classes. Combine elements of dance, Pilates, and strength training to tone your muscles, improve flexibility, and embrace your inner ballerina.",[]
54,Kickboxing,648,all levels,45,15.12,A Kickboxing class,2 h ,2023-01-29 01:00:00.530965,emily_schneider,"Release stress and get a full-body workout with our empowering kickboxing classes. Learn striking techniques, improve your coordination, and build strength while unleashing your inner warrior in a fun and supportive environment.",[]
55,Spinning,438,advanced,17,12.15,A Spinning class,2 h ,2022-07-05 05:30:00.530965,gail_johnson,"Pedal your way to a healthier you with our energizing spinning classes. Get your heart racing, strengthen your legs, and burn calories as you ride to the rhythm of motivating music in a dynamic and immersive indoor cycling experience.",[]
56,ABS,507,intermediate,44,10.53,A ABS class,2 h ,2023-03-27 10:00:00.530965,kimberly_solis,"Sculpt a strong and defined core with our dedicated ABS classes. Through a variety of exercises specifically targeting your abdominal muscles, you'll work towards achieving a toned midsection and improved stability.",[]
57,CrossFit,425,intermediate,16,18.02,A CrossFit class,1 h 35 min,2022-11-19 15:30:00.530965,chad_ho,"Unleash your inner athlete with our high-intensity CrossFit classes. Push your limits, increase strength and endurance, and experience the camaraderie of a supportive community as you tackle challenging workouts designed to optimize your fitness.",[]
58,HIIT,648,begginer,24,14.92,A HIIT class,0 h 10 min,2022-09-04 06:30:00.530965,emily_schneider,Get ready to torch calories and boost your metabolism with our heart-pumping HIIT sessions. Alternate between intense bursts of exercise and short recovery periods to maximize fat burning and achieve fast results.,[]
59,Personalized,833,advanced,27,16.13,A Personalized class,0 h 25 min,2023-05-03 04:30:00.530965,sheila_joseph,"Experience the ultimate tailored fitness program with our personalized classes. Our expert trainers will design a workout plan specifically for you, taking into account your goals, fitness level, and preferences to ensure optimal results and motivation.",[]
60,Kickboxing,930,begginer,17,12.47,A Kickboxing class,2 h ,2022-10-16 11:30:00.530965,william_perez,"Release stress and get a full-body workout with our empowering kickboxing classes. Learn striking techniques, improve your coordination, and build strength while unleashing your inner warrior in a fun and supportive environment.",[]
61,Yoga,352,intermediate,16,21.07,A Yoga class,2 h ,2022-06-05 14:00:00.530965,pamela_fox,"Discover inner peace and enhance your physical and mental well-being with our invigorating yoga classes. Unwind, increase flexibility, and strengthen your body while finding balance and harmony in a serene environment.",[]
62,Personalized,198,intermediate,31,14.15,A Personalized class,2 h ,2022-10-15 21:00:00.530965,tina_freeman,"Experience the ultimate tailored fitness program with our personalized classes. Our expert trainers will design a workout plan specifically for you, taking into account your goals, fitness level, and preferences to ensure optimal results and motivation.",[]
63,Kickboxing,871,all levels,30,17.26,A Kickboxing class,1 h ,2022-06-25 11:30:00.530965,maria_boyd,"Release stress and get a full-body workout with our empowering kickboxing classes. Learn striking techniques, improve your coordination, and build strength while unleashing your inner warrior in a fun and supportive environment.",[]
64,Personalized,529,all levels,21,13.74,A Personalized class,1 h 15 min,2023-03-01 17:30:00.530965,michael_sampson,"Experience the ultimate tailored fitness program with our personalized classes. Our expert trainers will design a workout plan specifically for you, taking into account your goals, fitness level, and preferences to ensure optimal results and motivation.",[]
65,Pilates,436,intermediate,43,15.45,A Pilates class,1 h 35 min,2023-02-04 16:00:00.530965,dustin_haney,"Sculpt your body and improve your posture with our dynamic Pilates sessions. Strengthen your core, tone your muscles, and increase flexibility while engaging in precise movements that promote body awareness and grace.",[]
66,Body Pump,387,intermediate,24,14.43,A Body Pump class,0 h 45 min,2022-07-19 13:30:00.530965,tina_kaufman,"Sculpt and define your muscles with our invigorating body pump classes. Using barbells and adjustable weights, you'll perform a series of strength-training exercises to target all major muscle groups, leaving you feeling strong and confident.",[]
67,HIIT,137,all levels,16,10.78,A HIIT class,2 h ,2023-04-21 17:00:00.530965,kyle_roberts,Get ready to torch calories and boost your metabolism with our heart-pumping HIIT sessions. Alternate between intense bursts of exercise and short recovery periods to maximize fat burning and achieve fast results.,[]
68,Body Pump,7,begginer,47,16.18,A Body Pump class,2 h ,2023-01-22 18:30:00.530965,dawn_harvey,"Sculpt and define your muscles with our invigorating body pump classes. Using barbells and adjustable weights, you'll perform a series of strength-training exercises to target all major muscle groups, leaving you feeling strong and confident.",[]
69,Zumba,604,begginer,23,21.07,A Zumba class,2 h ,2022-07-30 10:30:00.530965,brenda_webb_md,"Join the dance party and get your heart pumping with our exhilarating Zumba classes. Burn calories, boost your energy, and let loose to infectious Latin and international rhythms that make exercising feel like a celebration.",[]
70,Barre,936,advanced,47,13.93,A Barre class,2 h ,2023-03-01 00:00:00.530965,andrea_day,"Achieve a graceful and sculpted physique with our ballet-inspired barre classes. Combine elements of dance, Pilates, and strength training to tone your muscles, improve flexibility, and embrace your inner ballerina.",[]
71,Barre,375,all levels,22,18.62,A Barre class,2 h ,2023-04-22 08:30:00.530965,jacqueline_haas,"Achieve a graceful and sculpted physique with our ballet-inspired barre classes. Combine elements of dance, Pilates, and strength training to tone your muscles, improve flexibility, and embrace your inner ballerina.",[]
72,Spinning,180,all levels,31,16.18,A Spinning class,1 h ,2023-05-08 10:00:00.530965,stacy_webb,"Pedal your way to a healthier you with our energizing spinning classes. Get your heart racing, strengthen your legs, and burn calories as you ride to the rhythm of motivating music in a dynamic and immersive indoor cycling experience.",[]
73,Aerobics,494,advanced,15,15.08,A Aerobics class,1 h 50 min,2023-05-09 13:30:00.530965,benjamin_lin,"Join the fun and get your heart pumping with our vibrant aerobics classes. Move to energizing music, improve cardiovascular fitness, and enhance coordination while enjoying a lively and engaging workout.",[]
74,Yoga,3,advanced,28,15.24,A Yoga class,1 h 15 min,2023-05-19 06:00:00.530965,troy_harris,"Discover inner peace and enhance your physical and mental well-being with our invigorating yoga classes. Unwind, increase flexibility, and strengthen your body while finding balance and harmony in a serene environment.",[]
75,Stretching,780,advanced,21,15.99,A Stretching class,0 h 40 min,2022-11-24 06:30:00.530965,amanda_nelson,"Enhance your flexibility, improve posture, and prevent injuries with our rejuvenating stretching classes. Release tension, increase range of motion, and promote muscle recovery while experiencing deep relaxation and stress relief.",[]
76,Spinning,209,intermediate,20,9.15,A Spinning class,1 h 5 min,2022-12-21 19:30:00.530965,robert_murphy,"Pedal your way to a healthier you with our energizing spinning classes. Get your heart racing, strengthen your legs, and burn calories as you ride to the rhythm of motivating music in a dynamic and immersive indoor cycling experience.",[]
77,Barre,205,advanced,1,13.37,A Barre class,0 h 50 min,2022-08-09 07:30:00.530965,james_owens_dds,"Achieve a graceful and sculpted physique with our ballet-inspired barre classes. Combine elements of dance, Pilates, and strength training to tone your muscles, improve flexibility, and embrace your inner ballerina.",[]
78,Spinning,375,begginer,30,18.31,A Spinning class,2 h ,2022-10-09 12:00:00.530965,jacqueline_haas,"Pedal your way to a healthier you with our energizing spinning classes. Get your heart racing, strengthen your legs, and burn calories as you ride to the rhythm of motivating music in a dynamic and immersive indoor cycling experience.",[]
79,Pilates,7,begginer,38,13.87,A Pilates class,2 h ,2022-06-15 13:00:00.530965,dawn_harvey,"Sculpt your body and improve your posture with our dynamic Pilates sessions. Strengthen your core, tone your muscles, and increase flexibility while engaging in precise movements that promote body awareness and grace.",[]
80,ABS,640,intermediate,15,13.43,A ABS class,1 h 20 min,2022-08-01 06:00:00.530965,kyle_morris,"Sculpt a strong and defined core with our dedicated ABS classes. Through a variety of exercises specifically targeting your abdominal muscles, you'll work towards achieving a toned midsection and improved stability.",[]
81,Body Combat,179,intermediate,2,16.84,A Body Combat class,0 h 15 min,2022-12-09 01:00:00.530965,ronald_rodriguez,"Channel your energy and release stress with our dynamic body combat classes. Combine martial arts-inspired moves with cardiovascular exercises to improve strength, coordination, and cardiovascular fitness in a challenging and empowering session.",[]
82,Body Pump,314,advanced,27,12.38,A Body Pump class,0 h 15 min,2023-03-08 08:30:00.530965,amanda_andrews,"Sculpt and define your muscles with our invigorating body pump classes. Using barbells and adjustable weights, you'll perform a series of strength-training exercises to target all major muscle groups, leaving you feeling strong and confident.",[]
83,Body Combat,371,intermediate,9,17.91,A Body Combat class,1 h ,2023-05-12 07:30:00.530965,eric_anderson,"Channel your energy and release stress with our dynamic body combat classes. Combine martial arts-inspired moves with cardiovascular exercises to improve strength, coordination, and cardiovascular fitness in a challenging and empowering session.",[]
84,Boxing,738,advanced,41,18.35,A Boxing class,1 h 35 min,2022-10-14 21:30:00.530965,isabel_conner,"Unleash your inner fighter and improve your strength and agility with our empowering boxing classes. Learn proper boxing techniques, increase endurance, and build confidence while working up a sweat and relieving stress.",[]
85,Stretching,398,advanced,7,13.21,A Stretching class,0 h 35 min,2022-07-17 17:30:00.530965,linda_brown,"Enhance your flexibility, improve posture, and prevent injuries with our rejuvenating stretching classes. Release tension, increase range of motion, and promote muscle recovery while experiencing deep relaxation and stress relief.",[]
86,Kickboxing,31,begginer,34,16.81,A Kickboxing class,0 h 25 min,2022-07-07 02:00:00.530965,connor_moran,"Release stress and get a full-body workout with our empowering kickboxing classes. Learn striking techniques, improve your coordination, and build strength while unleashing your inner warrior in a fun and supportive environment.",[]
87,CrossFit,137,begginer,26,14.88,A CrossFit class,2 h ,2023-04-25 05:30:00.530965,kyle_roberts,"Unleash your inner athlete with our high-intensity CrossFit classes. Push your limits, increase strength and endurance, and experience the camaraderie of a supportive community as you tackle challenging workouts designed to optimize your fitness.",[]
88,Kickboxing,909,advanced,24,10.99,A Kickboxing class,0 h 40 min,2022-11-24 04:30:00.530965,andrea_pena,"Release stress and get a full-body workout with our empowering kickboxing classes. Learn striking techniques, improve your coordination, and build strength while unleashing your inner warrior in a fun and supportive environment.",[]
89,Spinning,493,advanced,40,16.88,A Spinning class,0 h 45 min,2023-05-15 19:00:00.530965,rebecca_brown,"Pedal your way to a healthier you with our energizing spinning classes. Get your heart racing, strengthen your legs, and burn calories as you ride to the rhythm of motivating music in a dynamic and immersive indoor cycling experience.",[]
90,Pilates,491,advanced,19,14.12,A Pilates class,1 h 20 min,2023-02-17 18:00:00.530965,belinda_reilly,"Sculpt your body and improve your posture with our dynamic Pilates sessions. Strengthen your core, tone your muscles, and increase flexibility while engaging in precise movements that promote body awareness and grace.",[]
91,GAP,221,all levels,33,18.14,A GAP class,1 h 15 min,2023-02-22 16:30:00.530965,julie_duran,"Focus on your lower body and core strength with our targeted GAP classes. Tone and tighten your glutes, abs, and legs through a combination of exercises designed to help you achieve a firm and toned physique.",[]
92,Stretching,125,intermediate,2,20.08,A Stretching class,1 h 10 min,2023-02-10 10:30:00.530965,virginia_schneider,"Enhance your flexibility, improve posture, and prevent injuries with our rejuvenating stretching classes. Release tension, increase range of motion, and promote muscle recovery while experiencing deep relaxation and stress relief.",[]
93,Boxing,656,advanced,11,17.03,A Boxing class,1 h 20 min,2023-02-28 19:00:00.530965,nathan_patton,"Unleash your inner fighter and improve your strength and agility with our empowering boxing classes. Learn proper boxing techniques, increase endurance, and build confidence while working up a sweat and relieving stress.",[]
94,Body Combat,793,advanced,36,15.63,A Body Combat class,2 h ,2022-11-05 00:30:00.530965,justin_ryan,"Channel your energy and release stress with our dynamic body combat classes. Combine martial arts-inspired moves with cardiovascular exercises to improve strength, coordination, and cardiovascular fitness in a challenging and empowering session.",[]
95,ABS,851,all levels,37,10.22,A ABS class,2 h ,2023-02-17 20:30:00.530965,austin_robinson,"Sculpt a strong and defined core with our dedicated ABS classes. Through a variety of exercises specifically targeting your abdominal muscles, you'll work towards achieving a toned midsection and improved stability.",[]
96,Pilates,648,all levels,21,12.94,A Pilates class,0 h 35 min,2023-04-24 21:30:00.530965,emily_schneider,"Sculpt your body and improve your posture with our dynamic Pilates sessions. Strengthen your core, tone your muscles, and increase flexibility while engaging in precise movements that promote body awareness and grace.",[]
97,Spinning,227,intermediate,17,18.34,A Spinning class,2 h ,2022-06-13 05:30:00.530965,lauren_may,"Pedal your way to a healthier you with our energizing spinning classes. Get your heart racing, strengthen your legs, and burn calories as you ride to the rhythm of motivating music in a dynamic and immersive indoor cycling experience.",[]
98,Yoga,419,advanced,45,12.93,A Yoga class,1 h 35 min,2023-04-23 23:30:00.530965,maria_bradley,"Discover inner peace and enhance your physical and mental well-being with our invigorating yoga classes. Unwind, increase flexibility, and strengthen your body while finding balance and harmony in a serene environment.",[]
99,ABS,55,advanced,43,12.66,A ABS class,2 h ,2022-09-12 21:00:00.530965,tony_cruz,"Sculpt a strong and defined core with our dedicated ABS classes. Through a variety of exercises specifically targeting your abdominal muscles, you'll work towards achieving a toned midsection and improved stability.",[]
100,Barre,642,begginer,7,13.32,A Barre class,1 h 40 min,2023-03-22 23:30:00.530965,laura_rodriguez,"Achieve a graceful and sculpted physique with our ballet-inspired barre classes. Combine elements of dance, Pilates, and strength training to tone your muscles, improve flexibility, and embrace your inner ballerina.",[]
101,Boxing,766,intermediate,48,15.68,A Boxing class,0 h 50 min,2022-07-23 23:30:00.530965,christopher_santos_phd,"Unleash your inner fighter and improve your strength and agility with our empowering boxing classes. Learn proper boxing techniques, increase endurance, and build confidence while working up a sweat and relieving stress.",[]
102,Barre,387,begginer,49,13.99,A Barre class,1 h 15 min,2022-09-10 04:00:00.530965,tina_kaufman,"Achieve a graceful and sculpted physique with our ballet-inspired barre classes. Combine elements of dance, Pilates, and strength training to tone your muscles, improve flexibility, and embrace your inner ballerina.",[]
103,Aerobics,74,intermediate,31,12.92,A Aerobics class,2 h ,2022-10-26 12:30:00.530965,leslie_johnson,"Join the fun and get your heart pumping with our vibrant aerobics classes. Move to energizing music, improve cardiovascular fitness, and enhance coordination while enjoying a lively and engaging workout.",[]
