id,category,creator_id,level,maxUsers,price,title,duration,datetime,creator,description
1031,Personalized,405,advanced,23,17.97,A Personalized class,0 h 35 min,2023-07-04 15:30:00.562059,mary_gonzalez,"Experience the ultimate tailored fitness program with our personalized classes. Our expert trainers will design a workout plan specifically for you, taking into account your goals, fitness level, and preferences to ensure optimal results and motivation."
1032,CrossFit,697,intermediate,19,20.62,A CrossFit class,2 h ,2023-11-03 11:30:00.562059,shari_valdez,"Unleash your inner athlete with our high-intensity CrossFit classes. Push your limits, increase strength and endurance, and experience the camaraderie of a supportive community as you tackle challenging workouts designed to optimize your fitness."
1033,Barre,439,begginer,5,16.08,A Barre class,2 h ,2023-10-28 07:30:00.562059,kristen_flores,"Achieve a graceful and sculpted physique with our ballet-inspired barre classes. Combine elements of dance, Pilates, and strength training to tone your muscles, improve flexibility, and embrace your inner ballerina."
1034,Stretching,584,advanced,44,13.74,A Stretching class,0 h 5 min,2024-03-08 01:00:00.562059,christine_lee,"Enhance your flexibility, improve posture, and prevent injuries with our rejuvenating stretching classes. Release tension, increase range of motion, and promote muscle recovery while experiencing deep relaxation and stress relief."
1035,Zumba,815,advanced,49,11.77,A Zumba class,2 h ,2023-10-14 14:30:00.562059,amber_day_phd,"Join the dance party and get your heart pumping with our exhilarating Zumba classes. Burn calories, boost your energy, and let loose to infectious Latin and international rhythms that make exercising feel like a celebration."
1036,Body Pump,321,advanced,3,17.35,A Body Pump class,1 h 25 min,2023-10-02 10:00:00.562059,adam_leblanc,"Sculpt and define your muscles with our invigorating body pump classes. Using barbells and adjustable weights, you'll perform a series of strength-training exercises to target all major muscle groups, leaving you feeling strong and confident."
1037,Barre,727,intermediate,39,14.42,A Barre class,2 h ,2023-11-18 12:30:00.562059,brian_dixon,"Achieve a graceful and sculpted physique with our ballet-inspired barre classes. Combine elements of dance, Pilates, and strength training to tone your muscles, improve flexibility, and embrace your inner ballerina."
1038,Other,997,intermediate,7,14.49,A Other class,2 h ,2023-07-01 15:00:00.562059,shelby_carter,"Embark on a journey of exploration and variety with our diverse range of specialized fitness classes. From aerial yoga to functional training, we offer unique opportunities to challenge yourself, discover new passions, and uncover hidden talents. Step outside your comfort zone"
1039,Body Pump,89,all levels,14,12.6,A Body Pump class,0 h ,2024-05-16 13:00:00.562059,joel_phillips,"Sculpt and define your muscles with our invigorating body pump classes. Using barbells and adjustable weights, you'll perform a series of strength-training exercises to target all major muscle groups, leaving you feeling strong and confident."
1040,Zumba,556,all levels,9,12.41,A Zumba class,2 h ,2023-05-29 22:30:00.562059,tammy_miller,"Join the dance party and get your heart pumping with our exhilarating Zumba classes. Burn calories, boost your energy, and let loose to infectious Latin and international rhythms that make exercising feel like a celebration."
1041,Zumba,226,intermediate,38,17.64,A Zumba class,0 h ,2023-08-02 17:30:00.562059,sara_robinson,"Join the dance party and get your heart pumping with our exhilarating Zumba classes. Burn calories, boost your energy, and let loose to infectious Latin and international rhythms that make exercising feel like a celebration."
1042,Yoga,590,advanced,37,16.5,A Yoga class,2 h ,2024-01-04 23:30:00.562059,tiffany_alexander,"Discover inner peace and enhance your physical and mental well-being with our invigorating yoga classes. Unwind, increase flexibility, and strengthen your body while finding balance and harmony in a serene environment."
1043,Aerobics,518,begginer,4,16.97,A Aerobics class,2 h ,2023-08-29 22:00:00.562059,deanna_bates,"Join the fun and get your heart pumping with our vibrant aerobics classes. Move to energizing music, improve cardiovascular fitness, and enhance coordination while enjoying a lively and engaging workout."
1044,Body Pump,912,begginer,42,11.03,A Body Pump class,2 h ,2023-08-24 22:00:00.562059,vicki_mcpherson,"Sculpt and define your muscles with our invigorating body pump classes. Using barbells and adjustable weights, you'll perform a series of strength-training exercises to target all major muscle groups, leaving you feeling strong and confident."
1045,HIIT,255,advanced,29,16.2,A HIIT class,2 h ,2023-11-13 22:30:00.562059,nicole_burch,Get ready to torch calories and boost your metabolism with our heart-pumping HIIT sessions. Alternate between intense bursts of exercise and short recovery periods to maximize fat burning and achieve fast results.
1046,Pilates,305,begginer,50,24.36,A Pilates class,1 h 15 min,2023-10-14 07:30:00.562059,anthony_young,"Sculpt your body and improve your posture with our dynamic Pilates sessions. Strengthen your core, tone your muscles, and increase flexibility while engaging in precise movements that promote body awareness and grace."
1047,Barre,580,advanced,4,9.29,A Barre class,0 h 35 min,2023-08-18 07:30:00.562059,candace_williams,"Achieve a graceful and sculpted physique with our ballet-inspired barre classes. Combine elements of dance, Pilates, and strength training to tone your muscles, improve flexibility, and embrace your inner ballerina."
1048,Barre,370,intermediate,47,13.89,A Barre class,2 h ,2024-05-02 18:30:00.562059,antonio_gibson,"Achieve a graceful and sculpted physique with our ballet-inspired barre classes. Combine elements of dance, Pilates, and strength training to tone your muscles, improve flexibility, and embrace your inner ballerina."
1049,Zumba,384,advanced,32,16.6,A Zumba class,0 h 55 min,2023-09-18 15:30:00.562059,francisco_santana,"Join the dance party and get your heart pumping with our exhilarating Zumba classes. Burn calories, boost your energy, and let loose to infectious Latin and international rhythms that make exercising feel like a celebration."
1050,ABS,439,advanced,20,14.47,A ABS class,1 h 25 min,2024-03-01 00:30:00.562059,kristen_flores,"Sculpt a strong and defined core with our dedicated ABS classes. Through a variety of exercises specifically targeting your abdominal muscles, you'll work towards achieving a toned midsection and improved stability."
1051,Zumba,575,begginer,48,17.98,A Zumba class,0 h 5 min,2024-03-28 04:30:00.562059,carl_burke,"Join the dance party and get your heart pumping with our exhilarating Zumba classes. Burn calories, boost your energy, and let loose to infectious Latin and international rhythms that make exercising feel like a celebration."
1052,Personalized,708,all levels,17,14.07,A Personalized class,2 h ,2023-12-22 13:00:00.562059,heidi_cox,"Experience the ultimate tailored fitness program with our personalized classes. Our expert trainers will design a workout plan specifically for you, taking into account your goals, fitness level, and preferences to ensure optimal results and motivation."
1053,Zumba,590,intermediate,37,19.22,A Zumba class,1 h 55 min,2023-12-20 04:30:00.562059,tiffany_alexander,"Join the dance party and get your heart pumping with our exhilarating Zumba classes. Burn calories, boost your energy, and let loose to infectious Latin and international rhythms that make exercising feel like a celebration."
1054,ABS,510,intermediate,44,10.97,A ABS class,2 h ,2024-03-07 21:00:00.562059,christina_welch,"Sculpt a strong and defined core with our dedicated ABS classes. Through a variety of exercises specifically targeting your abdominal muscles, you'll work towards achieving a toned midsection and improved stability."
1055,Zumba,152,all levels,30,14.86,A Zumba class,0 h 20 min,2024-03-24 00:00:00.562059,william_white,"Join the dance party and get your heart pumping with our exhilarating Zumba classes. Burn calories, boost your energy, and let loose to infectious Latin and international rhythms that make exercising feel like a celebration."
1056,Total Body Conditioning,113,advanced,3,14.48,A Total Body Conditioning class,0 h 30 min,2023-07-06 23:30:00.562059,calvin_smith,"Transform your body from head to toe with our comprehensive total body conditioning classes. Combining strength, cardio, and flexibility exercises, you'll enjoy a complete workout that targets all muscle groups for improved fitness and body composition."
1057,Body Pump,290,advanced,34,15.05,A Body Pump class,2 h ,2023-05-30 21:30:00.562059,joseph_gallagher,"Sculpt and define your muscles with our invigorating body pump classes. Using barbells and adjustable weights, you'll perform a series of strength-training exercises to target all major muscle groups, leaving you feeling strong and confident."
1058,Zumba,781,all levels,40,14.73,A Zumba class,0 h 55 min,2023-08-29 02:00:00.562059,angel_ingram,"Join the dance party and get your heart pumping with our exhilarating Zumba classes. Burn calories, boost your energy, and let loose to infectious Latin and international rhythms that make exercising feel like a celebration."
1059,Pilates,575,intermediate,26,13.67,A Pilates class,1 h 35 min,2023-08-31 09:00:00.562059,carl_burke,"Sculpt your body and improve your posture with our dynamic Pilates sessions. Strengthen your core, tone your muscles, and increase flexibility while engaging in precise movements that promote body awareness and grace."
1060,Body Pump,350,begginer,14,8.47,A Body Pump class,1 h 40 min,2024-04-14 20:30:00.562059,ryan_garcia,"Sculpt and define your muscles with our invigorating body pump classes. Using barbells and adjustable weights, you'll perform a series of strength-training exercises to target all major muscle groups, leaving you feeling strong and confident."
1061,Aerobics,434,all levels,28,17.3,A Aerobics class,1 h 50 min,2023-07-11 02:00:00.562059,pamela_sampson,"Join the fun and get your heart pumping with our vibrant aerobics classes. Move to energizing music, improve cardiovascular fitness, and enhance coordination while enjoying a lively and engaging workout."
1062,Spinning,39,advanced,16,17.9,A Spinning class,1 h 55 min,2023-12-19 03:00:00.562059,michaela_strickland,"Pedal your way to a healthier you with our energizing spinning classes. Get your heart racing, strengthen your legs, and burn calories as you ride to the rhythm of motivating music in a dynamic and immersive indoor cycling experience."
1063,Body Combat,958,intermediate,29,9.63,A Body Combat class,1 h 40 min,2023-09-30 14:30:00.562059,daniel_chapman,"Channel your energy and release stress with our dynamic body combat classes. Combine martial arts-inspired moves with cardiovascular exercises to improve strength, coordination, and cardiovascular fitness in a challenging and empowering session."
1064,Yoga,290,begginer,30,12.59,A Yoga class,2 h ,2023-09-28 16:00:00.562059,joseph_gallagher,"Discover inner peace and enhance your physical and mental well-being with our invigorating yoga classes. Unwind, increase flexibility, and strengthen your body while finding balance and harmony in a serene environment."
1065,Total Body Conditioning,197,begginer,31,12.12,A Total Body Conditioning class,1 h 5 min,2024-05-23 08:00:00.562059,monica_sandoval,"Transform your body from head to toe with our comprehensive total body conditioning classes. Combining strength, cardio, and flexibility exercises, you'll enjoy a complete workout that targets all muscle groups for improved fitness and body composition."
1066,Pilates,862,begginer,3,16.49,A Pilates class,1 h 30 min,2024-05-23 07:00:00.562059,rachel_mclaughlin,"Sculpt your body and improve your posture with our dynamic Pilates sessions. Strengthen your core, tone your muscles, and increase flexibility while engaging in precise movements that promote body awareness and grace."
1067,Spinning,439,begginer,6,17.82,A Spinning class,1 h ,2024-05-23 05:00:00.562059,kristen_flores,"Pedal your way to a healthier you with our energizing spinning classes. Get your heart racing, strengthen your legs, and burn calories as you ride to the rhythm of motivating music in a dynamic and immersive indoor cycling experience."
1068,Spinning,314,all levels,49,12.52,A Spinning class,0 h 55 min,2024-01-18 10:30:00.562059,carlos_gonzalez,"Pedal your way to a healthier you with our energizing spinning classes. Get your heart racing, strengthen your legs, and burn calories as you ride to the rhythm of motivating music in a dynamic and immersive indoor cycling experience."
1069,Pilates,371,intermediate,2,9.74,A Pilates class,1 h 25 min,2023-12-08 13:00:00.562059,emily_navarro,"Sculpt your body and improve your posture with our dynamic Pilates sessions. Strengthen your core, tone your muscles, and increase flexibility while engaging in precise movements that promote body awareness and grace."
1070,CrossFit,333,all levels,42,15.12,A CrossFit class,0 h 15 min,2023-10-23 11:00:00.562059,john_christensen,"Unleash your inner athlete with our high-intensity CrossFit classes. Push your limits, increase strength and endurance, and experience the camaraderie of a supportive community as you tackle challenging workouts designed to optimize your fitness."
1071,Kickboxing,161,begginer,27,11.68,A Kickboxing class,1 h 30 min,2023-08-10 19:30:00.562059,kristen_matthews,"Release stress and get a full-body workout with our empowering kickboxing classes. Learn striking techniques, improve your coordination, and build strength while unleashing your inner warrior in a fun and supportive environment."
1072,Yoga,487,all levels,35,11.79,A Yoga class,0 h 35 min,2023-06-27 16:30:00.562059,rebecca_sanchez,"Discover inner peace and enhance your physical and mental well-being with our invigorating yoga classes. Unwind, increase flexibility, and strengthen your body while finding balance and harmony in a serene environment."
1073,Body Pump,274,all levels,1,15.32,A Body Pump class,2 h ,2024-01-25 16:30:00.562059,maria_tran,"Sculpt and define your muscles with our invigorating body pump classes. Using barbells and adjustable weights, you'll perform a series of strength-training exercises to target all major muscle groups, leaving you feeling strong and confident."
1074,Other,137,all levels,1,16.18,A Other class,1 h 10 min,2024-01-29 21:00:00.562059,tiffany_castillo,"Embark on a journey of exploration and variety with our diverse range of specialized fitness classes. From aerial yoga to functional training, we offer unique opportunities to challenge yourself, discover new passions, and uncover hidden talents. Step outside your comfort zone"
1075,Barre,302,intermediate,15,14.21,A Barre class,2 h ,2024-04-27 18:30:00.562059,trevor_tanner,"Achieve a graceful and sculpted physique with our ballet-inspired barre classes. Combine elements of dance, Pilates, and strength training to tone your muscles, improve flexibility, and embrace your inner ballerina."
1076,Other,326,all levels,27,15.3,A Other class,2 h ,2023-11-18 03:30:00.562059,heidi_shea,"Embark on a journey of exploration and variety with our diverse range of specialized fitness classes. From aerial yoga to functional training, we offer unique opportunities to challenge yourself, discover new passions, and uncover hidden talents. Step outside your comfort zone"
1077,Boxing,261,begginer,27,11.47,A Boxing class,1 h 5 min,2023-12-05 08:30:00.562059,vincent_maddox,"Unleash your inner fighter and improve your strength and agility with our empowering boxing classes. Learn proper boxing techniques, increase endurance, and build confidence while working up a sweat and relieving stress."
1078,Barre,314,intermediate,4,19.12,A Barre class,0 h 35 min,2023-05-28 22:30:00.562059,carlos_gonzalez,"Achieve a graceful and sculpted physique with our ballet-inspired barre classes. Combine elements of dance, Pilates, and strength training to tone your muscles, improve flexibility, and embrace your inner ballerina."
1079,GAP,590,advanced,43,5.75,A GAP class,0 h 55 min,2024-02-18 05:30:00.562059,tiffany_alexander,"Focus on your lower body and core strength with our targeted GAP classes. Tone and tighten your glutes, abs, and legs through a combination of exercises designed to help you achieve a firm and toned physique."
1080,Spinning,71,intermediate,13,15.65,A Spinning class,2 h ,2023-12-16 01:00:00.562059,christopher_allen,"Pedal your way to a healthier you with our energizing spinning classes. Get your heart racing, strengthen your legs, and burn calories as you ride to the rhythm of motivating music in a dynamic and immersive indoor cycling experience."
1081,Spinning,977,begginer,47,19.2,A Spinning class,1 h 55 min,2023-12-31 17:30:00.562059,sharon_ortiz,"Pedal your way to a healthier you with our energizing spinning classes. Get your heart racing, strengthen your legs, and burn calories as you ride to the rhythm of motivating music in a dynamic and immersive indoor cycling experience."
1082,Spinning,873,all levels,14,14.08,A Spinning class,0 h 15 min,2023-07-16 16:30:00.562059,haley_baldwin,"Pedal your way to a healthier you with our energizing spinning classes. Get your heart racing, strengthen your legs, and burn calories as you ride to the rhythm of motivating music in a dynamic and immersive indoor cycling experience."
1083,Aerobics,374,advanced,23,9.86,A Aerobics class,1 h 30 min,2023-08-23 08:00:00.562059,daniel_huber,"Join the fun and get your heart pumping with our vibrant aerobics classes. Move to energizing music, improve cardiovascular fitness, and enhance coordination while enjoying a lively and engaging workout."
1084,Yoga,274,all levels,6,16.77,A Yoga class,2 h ,2023-09-28 22:00:00.562059,maria_tran,"Discover inner peace and enhance your physical and mental well-being with our invigorating yoga classes. Unwind, increase flexibility, and strengthen your body while finding balance and harmony in a serene environment."
1085,Spinning,839,begginer,18,13.61,A Spinning class,1 h 15 min,2023-12-28 20:30:00.562059,brian_kim,"Pedal your way to a healthier you with our energizing spinning classes. Get your heart racing, strengthen your legs, and burn calories as you ride to the rhythm of motivating music in a dynamic and immersive indoor cycling experience."
1086,Kickboxing,148,begginer,49,14.67,A Kickboxing class,1 h 50 min,2024-04-04 04:00:00.562059,jessica_hughes,"Release stress and get a full-body workout with our empowering kickboxing classes. Learn striking techniques, improve your coordination, and build strength while unleashing your inner warrior in a fun and supportive environment."
1087,Boxing,701,intermediate,27,13.45,A Boxing class,2 h ,2023-10-13 01:00:00.562059,mrs__christine_marquez,"Unleash your inner fighter and improve your strength and agility with our empowering boxing classes. Learn proper boxing techniques, increase endurance, and build confidence while working up a sweat and relieving stress."
1088,Personalized,321,all levels,24,15.81,A Personalized class,0 h 40 min,2023-12-22 05:30:00.562059,adam_leblanc,"Experience the ultimate tailored fitness program with our personalized classes. Our expert trainers will design a workout plan specifically for you, taking into account your goals, fitness level, and preferences to ensure optimal results and motivation."
1089,Body Combat,854,begginer,49,21.11,A Body Combat class,0 h 15 min,2023-10-23 19:00:00.562059,breanna_johnston,"Channel your energy and release stress with our dynamic body combat classes. Combine martial arts-inspired moves with cardiovascular exercises to improve strength, coordination, and cardiovascular fitness in a challenging and empowering session."
1090,HIIT,705,begginer,21,12.85,A HIIT class,2 h ,2024-03-20 23:00:00.562059,wesley_hayes,Get ready to torch calories and boost your metabolism with our heart-pumping HIIT sessions. Alternate between intense bursts of exercise and short recovery periods to maximize fat burning and achieve fast results.
1091,Barre,970,all levels,19,14.99,A Barre class,1 h 35 min,2024-05-22 07:30:00.562059,shannon_hale,"Achieve a graceful and sculpted physique with our ballet-inspired barre classes. Combine elements of dance, Pilates, and strength training to tone your muscles, improve flexibility, and embrace your inner ballerina."
1092,Zumba,815,all levels,36,12.34,A Zumba class,0 h ,2024-05-23 21:30:00.562059,amber_day_phd,"Join the dance party and get your heart pumping with our exhilarating Zumba classes. Burn calories, boost your energy, and let loose to infectious Latin and international rhythms that make exercising feel like a celebration."
1093,Zumba,145,begginer,46,17.15,A Zumba class,2 h ,2023-07-27 19:30:00.562059,ethan_hawkins,"Join the dance party and get your heart pumping with our exhilarating Zumba classes. Burn calories, boost your energy, and let loose to infectious Latin and international rhythms that make exercising feel like a celebration."
1094,Boxing,872,advanced,49,12.39,A Boxing class,1 h 20 min,2024-03-05 21:00:00.562059,sarah_hart,"Unleash your inner fighter and improve your strength and agility with our empowering boxing classes. Learn proper boxing techniques, increase endurance, and build confidence while working up a sweat and relieving stress."
1095,Pilates,226,all levels,30,14.24,A Pilates class,2 h ,2024-02-04 23:30:00.562059,sara_robinson,"Sculpt your body and improve your posture with our dynamic Pilates sessions. Strengthen your core, tone your muscles, and increase flexibility while engaging in precise movements that promote body awareness and grace."
1096,Kickboxing,892,advanced,14,17.12,A Kickboxing class,1 h 55 min,2023-10-17 11:00:00.562059,samantha_sullivan,"Release stress and get a full-body workout with our empowering kickboxing classes. Learn striking techniques, improve your coordination, and build strength while unleashing your inner warrior in a fun and supportive environment."
1097,Pilates,955,all levels,22,17.17,A Pilates class,1 h 25 min,2023-09-24 06:30:00.562059,samuel_nguyen,"Sculpt your body and improve your posture with our dynamic Pilates sessions. Strengthen your core, tone your muscles, and increase flexibility while engaging in precise movements that promote body awareness and grace."
1098,GAP,556,advanced,44,7.16,A GAP class,1 h 20 min,2024-01-24 19:00:00.562059,tammy_miller,"Focus on your lower body and core strength with our targeted GAP classes. Tone and tighten your glutes, abs, and legs through a combination of exercises designed to help you achieve a firm and toned physique."
1099,HIIT,370,intermediate,47,16.73,A HIIT class,0 h 50 min,2024-03-10 10:00:00.562059,antonio_gibson,Get ready to torch calories and boost your metabolism with our heart-pumping HIIT sessions. Alternate between intense bursts of exercise and short recovery periods to maximize fat burning and achieve fast results.
1100,Kickboxing,975,all levels,41,17.21,A Kickboxing class,0 h 15 min,2024-03-16 00:00:00.562059,wendy_johnson,"Release stress and get a full-body workout with our empowering kickboxing classes. Learn striking techniques, improve your coordination, and build strength while unleashing your inner warrior in a fun and supportive environment."
1101,ABS,290,advanced,3,13.26,A ABS class,1 h 20 min,2023-08-04 06:00:00.562059,joseph_gallagher,"Sculpt a strong and defined core with our dedicated ABS classes. Through a variety of exercises specifically targeting your abdominal muscles, you'll work towards achieving a toned midsection and improved stability."
1102,Other,781,intermediate,39,13.44,A Other class,1 h 25 min,2024-05-17 20:00:00.562059,angel_ingram,"Embark on a journey of exploration and variety with our diverse range of specialized fitness classes. From aerial yoga to functional training, we offer unique opportunities to challenge yourself, discover new passions, and uncover hidden talents. Step outside your comfort zone"
1103,Zumba,615,all levels,44,14.86,A Zumba class,1 h 55 min,2024-03-05 19:30:00.562059,felicia_howard,"Join the dance party and get your heart pumping with our exhilarating Zumba classes. Burn calories, boost your energy, and let loose to infectious Latin and international rhythms that make exercising feel like a celebration."
1104,Yoga,818,all levels,42,17.43,A Yoga class,1 h 55 min,2023-10-16 06:30:00.562059,allison_williams,"Discover inner peace and enhance your physical and mental well-being with our invigorating yoga classes. Unwind, increase flexibility, and strengthen your body while finding balance and harmony in a serene environment."
